Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
13,55	-3,231
13,56	-3,276
13,57	-3,319
13,58	-3,359
13,59	-3,396
13,6	-3,431
13,61	-3,466
13,62	-3,499
13,63	-3,531
13,64	-3,563
13,65	-3,594
13,66	-3,626
13,67	-3,656
13,68	-3,682
13,69	-3,704
13,7	-3,726
13,71	-3,746
13,72	-3,766
13,73	-3,783
13,74	-3,800
13,75	-3,818
13,76	-3,836
13,77	-3,851
13,78	-3,866
13,79	-3,879
13,8	-3,894
13,81	-3,908
13,82	-3,923
13,83	-3,939
13,84	-3,953
13,85	-3,964
13,86	-3,972
13,87	-3,978
13,88	-3,983
13,89	-3,988
13,9	-3,994
13,91	-3,998
13,92	-4,001
13,93	-4,003
13,94	-4,004
13,95	-4,008
13,96	-4,011
13,97	-4,014
13,98	-4,018
13,99	-4,023
14,0	-4,030
14,01	-4,033
14,02	-4,036
14,03	-4,039
14,04	-4,041
14,05	-4,049
14,06	-4,067
14,07	-4,090
14,08	-4,109
14,09	-4,123
14,1	-4,131
14,11	-4,137
14,12	-4,139
14,13	-4,141
14,14	-4,143
14,15	-4,143
14,16	-4,144
14,17	-4,146
14,18	-4,148
14,19	-4,149
14,2	-4,150
14,21	-4,149
14,22	-4,148
14,23	-4,146
14,24	-4,144
14,25	-4,141
14,26	-4,138
14,27	-4,133
14,28	-4,129
14,29	-4,121
14,3	-4,112
14,31	-4,103
14,32	-4,089
14,33	-4,073
14,34	-4,059
14,35	-4,045
14,36	-4,031
14,37	-4,018
14,38	-4,003
14,39	-3,989
14,4	-3,974
14,41	-3,960
14,42	-3,946
14,43	-3,933
14,44	-3,921
14,45	-3,907
14,46	-3,893
14,47	-3,879
14,48	-3,866
14,49	-3,851
14,5	-3,837
14,51	-3,824
14,52	-3,810
14,53	-3,796
14,54	-3,783
14,55	-3,771
14,56	-3,759
14,57	-3,748
